,Timestamp,Close,Volume_(BTC),Normalized_Change
858691,1376839380,99.43,7.3018558,-0.0037351100343226786
860133,1376925900,103.84,5.93376203,9.629272989880506e-05
861573,1377012300,104.05,3.2502787,0.0023969319271332696
863013,1377098700,106.74,1.38367681,0.0
864453,1377185100,112.76,7.69715825,0.0
865893,1377271500,109.79,12.90618453,0.0
867334,1377357960,108.66,0.1,0.0
868774,1377444360,111.44,30.10797,-0.0045069406886605375
870215,1377530820,111.31,1.45,0.0
871655,1377617220,118.33,2.36208569,-0.00016904741780065946
873095,1377703620,118.41,44.1,0.001854505605664662
874535,1377790020,119.45,4.92233418,-0.0020973154362416107
875975,1377876420,120.83,9.79940499,-0.0029050464807436446
877415,1377962820,129.54,0.03242242,0.0
878855,1378049220,131.1,0.02822273,0.0
880295,1378135620,130.92,38.67226219,7.637668983441019e-05
881735,1378222020,130.64,362.36393925,-0.001456496742046744
883175,1378308420,129.27,8.27059894,-7.736345350471396e-05
884615,1378394820,126.01,76.60429998,0.005995109252977762
886055,1378481220,122.78,30.3,-0.004253230819564829
887496,1378567680,119.95,1.30796165,0.0
888938,1378654200,118.47,0.3,0.0
890378,1378740600,120.39,26.56017185,-0.0016640319494134524
891819,1378827060,123.53,7.5979652,0.0029862792574657346
893259,1378913460,124.3,3.7,0.0
894699,1378999860,127.3,7.5889215,0.0
896139,1379086260,128.67,0.998,0.00015541223094265468
897579,1379172660,125.73,4.5,0.0
899019,1379259060,124.99,0.80806076,0.0
900459,1379345460,125.9,2.19642825,0.0
901899,1379431860,126.86,4.58677938,-7.883326763898397e-05
903339,1379518260,127.37,11.7375779,7.850525985233871e-05
904779,1379604660,125.37,4.01959731,7.975753708718221e-05
906220,1379691120,123.96,1.741849,0.0020127203928830208
907662,1379777640,123.68,1.47663806,0.0003233107015841581
909103,1379864100,122.92,1.847358,-0.00016273393002437772
910543,1379950500,123.88,14.64,0.0
911984,1380036960,122.98,8.01422245,0.0
913424,1380123360,123.55,22.418,0.0
914868,1380210000,124.32,1.61679536,0.0
916308,1380296400,126.01,10.3718021,0.0003173343911145739
917748,1380382800,126.6,9.79988942,7.898270278812981e-05
919188,1380469200,127.6,13.84,0.0005482885564346157
